NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01052","1",1.0000000000000000e+00,"cup, whipped",1.2000000000000000e+02,,
"01052","2",1.0000000000000000e+00,"cup, fluid (yields 2 cups whipped)",2.3900000000000000e+02,,
"01052","3",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01053","1",1.0000000000000000e+00,"cup, whipped",1.2000000000000000e+02,,
"01053","2",1.0000000000000000e+00,"cup, fluid (yields 2 cups whipped)",2.3800000000000000e+02,,
"01053","3",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01053","4",1.0000000000000000e+00,"fl oz",2.9800000000000001e+01,,
"01054","1",1.0000000000000000e+00,"cup",6.0000000000000000e+01,,
"01054","2",1.0000000000000000e+00,"tbsp",3.0000000000000000e+00,,
"01055","1",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01055","2",1.0000000000000000e+00,"cup",2.4200000000000000e+02,,
"01056","1",1.0000000000000000e+00,"tbsp",1.2000000000000000e+01,,
"01056","2",1.0000000000000000e+00,"cup",2.3000000000000000e+02,,
"01057","1",1.0000000000000000e+00,"cup",2.5400000000000000e+02,,
"01057","2",1.0000000000000000e+00,"fl oz",3.1800000000000001e+01,,
"01057","3",1.0000000000000000e+00,"quart",1.0160000000000000e+03,,
"01058","1",1.0000000000000000e+00,"tbsp",1.2000000000000000e+01,,
"01058","2",1.0000000000000000e+00,"cup",2.3500000000000000e+02,,
"01059","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01059","2",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01060","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01060","2",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01060","3",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01061","1",1.0000000000000000e+00,"serving",1.9000000000000000e+01,1,
"01067","1",1.0000000000000000e+00,"container, individual",1.5000000000000000e+01,,
"01067","2",1.0000000000000000e+00,"fl oz",3.0000000000000000e+01,,
"01067","3",1.0000000000000000e+00,"cup",2.4000000000000000e+02,,
"01067","4",5.0000000000000000e-01,"cup",1.2000000000000000e+02,,
"01068","1",1.0000000000000000e+00,"container, individual",1.5000000000000000e+01,,
"01068","2",5.0000000000000000e-01,"cup",1.2000000000000000e+02,,
"01069","1",1.0000000000000000e+00,"cup",9.4000000000000000e+01,,
"01069","2",1.0000000000000000e+00,"tsp",2.0000000000000000e+00,,
"01069","3",1.0000000000000000e+00,"packet",3.0000000000000000e+00,,
"01070","1",1.5000000000000000e+00,"oz",4.3000000000000000e+01,,
"01070","2",1.0000000000000000e+00,"portion, amount to make 1 tbsp",1.3000000000000000e+00,,
"01071","1",1.0000000000000000e+00,"cup",8.0000000000000000e+01,,
"01071","2",1.0000000000000000e+00,"tbsp",4.0000000000000000e+00,,
"01071","3",1.0000000000000000e+00,"package yields",1.6000000000000000e+02,,
"01072","1",1.0000000000000000e+00,"cup",7.0000000000000000e+01,,
"01072","2",1.0000000000000000e+00,"tbsp",4.0000000000000000e+00,,
"01073","1",1.0000000000000000e+00,"cup",7.5000000000000000e+01,,
"01073","2",1.0000000000000000e+00,"tbsp",4.0000000000000000e+00,,
"01074","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01074","2",1.0000000000000000e+00,"cup",2.3000000000000000e+02,,
"01076","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01076","2",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01077","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01077","2",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01077","3",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01077","4",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01078","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01078","2",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01079","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01079","2",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01079","3",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01080","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01080","2",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01081","1",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01081","2",1.0000000000000000e+00,"quart",9.8400000000000000e+02,,
